query_id,query,nDCG_finetuned,nDCG_bm25,nDCG_congelado,mejor_baseline,delta_vs_mejor_baseline
2770,20 cuentos de hadas sin expurgar,0.7971998030554314,0.8626775533459291,0.6913628197251253,0.8626775533459291,-0.06547775029049774
2793,20 l agua sin bpa,0.9216017310213247,0.7421246259355073,0.791726719367984,0.791726719367984,0.1298750116533407
2799,20 liquida para vaper sin nicotina,0.8611375561264456,1.0,0.9052116356304495,1.0,-0.1388624438735544
2800,20 luces sin enchufe para espejo,0.5875502863571092,0.7026305163854646,0.3909273842002217,0.7026305163854646,-0.11508023002835543
2809,20 piezas de pinzas para el pelo sin doblar clips,1.0,1.0,1.0,1.0,0.0
2812,20 señales flechas sin letreros,0.10209739512291163,0.0,0.2001366809542687,0.2001366809542687,-0.09803928583135707
2829,200 cartas pokemon sin repetir,0.7280855459907166,0.7506372960520511,0.72891152902702,0.7506372960520511,-0.022551750061334475
2830,"200 guantes de nitrilo azul sin polvo, desechables, talla m",0.7827392871477703,0.7315449642824575,0.6874708847784539,0.7315449642824575,0.05119432286531278
2833,200 metros de goma de 16mm sin gotero,0.38685280723454163,0.2890648263178879,0.43067655807339306,0.43067655807339306,-0.04382375083885143
2856,20m cat5e sin terminales,1.0,0.8175295903539445,0.6240505200038379,0.8175295903539445,0.18247040964605554
2933,220v a usb sin carcasa,0.7668091220635322,0.3071837157818931,0.6804558477306826,0.6804558477306826,0.08635327433284967
2948,226ers sin mangas,0.8899603164338973,0.867043684838194,0.8048099750039491,0.867043684838194,0.02291663159570323
2961,23 otoños sin ti libro,0.6309297535714575,1.0,1.0,1.0,-0.36907024642854247
3013,24 sin marcos,0.5716349530699038,0.5009732673492617,0.6500332220485792,0.6500332220485792,-0.07839826897867541
3059,24x32 sin espiral cuadros grandes,0.6739577727076379,0.3973845377035661,0.591176585485452,0.591176585485452,0.08278118722218586
3095,250 sobres sin ventana 26x18,0.0,0.0,0.3562071871080222,0.3562071871080222,-0.3562071871080222
3170,28 pulgadas tv sin smart,1.0,1.0,0.0,1.0,0.0
3183,29 bolsas de papel kraft sin asas,0.571614567891588,0.5462574254588146,0.7241528458281337,0.7241528458281337,-0.15253827793654562
3213,2kg forbury base jabón de glicerina transparente sin sls,0.8013122149737618,0.9284591831945489,0.9434732991210639,0.9434732991210639,-0.1421610841473021
3214,2kg jabon base blanco sin sls,0.7573821447149967,0.6840182226156366,0.5298982599625927,0.6840182226156366,0.07336392209936005
3252,2u psu,0.9363792118010483,1.0,0.8630152897016883,1.0,-0.06362078819895167
3315,3 camaras de vigilancia sin cables exterior,1.0,0.9148568823583791,0.92663607790064,0.92663607790064,0.07336392209936005
3319,3 catus artificial sin maceta,0.6096199500078984,0.8048099750039491,0.36331756126716835,0.8048099750039491,-0.19519002499605076
3323,3 cuadros sin marcos muy coloridos,0.92663607790064,0.7254521107352793,1.0,1.0,-0.07336392209936005
3374,3 laminas sin marco decorativas salon,0.77990823370192,0.7948833326720566,0.77990823370192,0.7948833326720566,-0.014975098970136602
3386,3 metros de luces led sin enchufw,0.685819076903371,0.3525683241217281,0.07075576072108063,0.3525683241217281,0.33325075278164284
3412,3 pommes niño,1.0,1.0,0.9337457765456111,1.0,0.0
3427,3 restas sin llevada,0.8603818544462509,0.6429424283490957,0.7573821447149967,0.7573821447149967,0.10299970973125427
3428,3 restas sin llevada ismael sausa,0.7039180890341347,0.7653606369886217,0.4367467095119258,0.7653606369886217,-0.061442547954487
3451,3 usb para ordenador sin cable blanco,0.6238470455881189,0.11706259313796355,0.2820132694023928,0.2820132694023928,0.3418337761857261
3453,3 ventiladores sin color,0.4378068560756645,0.39375843764607205,0.3732689537968545,0.39375843764607205,0.04404841842959245
3498,3.5 sin tornillos nox,0.0,0.3333333333333333,0.5,0.5,-0.5
3575,30 cumpleaños sin globos helio,0.322805924221174,0.6115682811626771,0.6368547259115426,0.6368547259115426,-0.3140488016903686
3600,30 plastico a4 carpeta sin anillas,0.718362797268624,0.605504765619221,0.5606114592078374,0.605504765619221,0.112858031649403
3608,30 x 30 sin marco,0.5912352048230277,0.3065735963827292,0.5012658353418871,0.5012658353418871,0.08996936948114065
3630,305x76cm sin depuradora,0.8165901947515999,0.5766692999492191,0.3597099118518293,0.5766692999492191,0.23992089480238077
3637,30g ginebra sin alcol,0.6310473491188939,0.49958026644179554,0.5716190970674814,0.5716190970674814,0.059428252051412556
3651,30x90 sin marco,1.0,0.3010299956639812,0.3333333333333333,0.3333333333333333,0.6666666666666667
3670,32 gb ssd,0.787702056960637,0.24630238874073,1.0,1.0,-0.212297943039363
3691,32'' full hd,1.0,1.0,0.841492960259019,1.0,0.0
3726,35 aniversario mario bros,0.8058467414416308,0.81383546042969,0.8325036712789009,0.8325036712789009,-0.026656929837270082
3732,350 ml botella plastico sin bisfenol,0.9363792118010483,0.3621108234757073,0.5541432109622959,0.5541432109622959,0.3822360008387524
3744,35mm olympus,0.5017289690294564,0.5797827732044221,0.5797827732044221,0.5797827732044221,-0.07805380417496566
3745,35mm sigma sony,0.6366824387328317,0.6366824387328317,0.6366824387328317,0.6366824387328317,0.0
3796,365 sin pantallas,0.6713527276121545,0.6595629128335778,0.7508679794281646,0.7508679794281646,-0.07951525181601016
3812,377 battery,1.0,1.0,0.9363792118010483,1.0,0.0
3884,3d suelo para baños,0.9093183643170807,0.45316653561240483,1.0,1.0,-0.09068163568291931
3907,3eme acondicionador sin silicona,0.3171937659698004,0.370291336443826,0.14126697285982898,0.370291336443826,-0.05309757047402558
3925,3m doble cara sin residuos,0.8205228949141828,0.6320787427864673,0.747935059673333,0.747935059673333,0.07258783524084989
3929,3m ffp3 sin valvula,0.447734522612947,0.3159817773843635,0.4152807670887413,0.4152807670887413,0.03245375552420571
3933,3m máscara sin válvula,0.4637282884073714,0.43185491466831016,0.3730314366226675,0.43185491466831016,0.03187337373906124
3955,3mm algondon sin trenzar,0.4260276605334036,0.3667028183788344,0.48882922182497557,0.48882922182497557,-0.062801561291572
4080,4 libretas medida folio de cuadrícula sin espiral,0.36926780146674987,0.20210734650054757,0.2960819109658652,0.2960819109658652,0.07318589050088464
4084,4 ojos de buey sin bombillas,0.30315953217404545,0.2719144540092836,0.06362078819895173,0.2719144540092836,0.031245078164761853
4102,4 pin conector led sin soldadura,1.0,0.9305687780632229,0.9305687780632229,0.9305687780632229,0.06943122193677709
4108,4 pulgadas sin bordes,0.0,0.2890648263178879,0.0,0.2890648263178879,-0.2890648263178879
4121,4 taburetes cocina sin respaldo.,0.7951657524814092,0.35895421017163476,0.49827103097054376,0.49827103097054376,0.29689472151086543
4179,40 unidades de cera sin silicona colores,0.3562071871080222,1.0,0.43067655807339306,1.0,-0.6437928128919779
4182,40 x cable de puente hembra a hembra sin soldadura flexible,1.0,1.0,1.0,1.0,0.0
4272,47 brand gorras sin logos,0.2685357229842324,0.664550862590272,0.3853585682515056,0.664550862590272,-0.39601513960603957
4294,49 pulgadas,1.0,0.35106842466815347,1.0,1.0,0.0
